"filename", "language", "Dart", "comment", "blank", "total"
"c:\Project\Flutter\jungle\lib\app\app.dart", "Dart", 27, 0, 7, 34
"c:\Project\Flutter\jungle\lib\constant\constant.dart", "Dart", 16, 1, 3, 20
"c:\Project\Flutter\jungle\lib\constant\palette\palette.dart", "Dart", 18, 0, 1, 19
"c:\Project\Flutter\jungle\lib\main.dart", "Dart", 30, 0, 2, 32
"c:\Project\Flutter\jungle\lib\model\notification_model\notification_model.dart", "Dart", 10, 0, 3, 13
"c:\Project\Flutter\jungle\lib\model\notification_model\notification_model.g.dart", "Dart", 32, 4, 8, 44
"c:\Project\Flutter\jungle\lib\model\text_field_model\text_field_model.dart", "Dart", 4, 0, 1, 5
"c:\Project\Flutter\jungle\lib\model\todo_model\todo_model.dart", "Dart", 15, 0, 5, 20
"c:\Project\Flutter\jungle\lib\model\todo_model\todo_model.g.dart", "Dart", 38, 4, 8, 50
"c:\Project\Flutter\jungle\lib\routes\routes.dart", "Dart", 13, 0, 1, 14
"c:\Project\Flutter\jungle\lib\theme\theme.dart", "Dart", 19, 0, 2, 21
"c:\Project\Flutter\jungle\lib\view\home\completed_todo_page\completed_todo_page.dart", "Dart", 128, 0, 7, 135
"c:\Project\Flutter\jungle\lib\view\home\completed_todo_page\edit_completed_todo_page.dart", "Dart", 128, 0, 12, 140
"c:\Project\Flutter\jungle\lib\view\home\home_page.dart", "Dart", 91, 0, 10, 101
"c:\Project\Flutter\jungle\lib\view\home\notifications_page\notifications_page.dart", "Dart", 43, 0, 4, 47
"c:\Project\Flutter\jungle\lib\view\home\todo_page\edit_todo.dart", "Dart", 170, 0, 17, 187
"c:\Project\Flutter\jungle\lib\view\home\todo_page\new_todo_sheet.dart", "Dart", 147, 0, 15, 162
"c:\Project\Flutter\jungle\lib\view\home\todo_page\todo_page.dart", "Dart", 149, 1, 14, 164
"c:\Project\Flutter\jungle\lib\view\onboarding_page\onboarding_page.dart", "Dart", 125, 0, 6, 131
"c:\Project\Flutter\jungle\lib\view\settings\feedback_button\feedback_button.dart", "Dart", 28, 0, 4, 32
"c:\Project\Flutter\jungle\lib\view\settings\settings.dart", "Dart", 44, 0, 4, 48
"c:\Project\Flutter\jungle\lib\view\settings\theme_button\theme_button.dart", "Dart", 32, 0, 3, 35
"c:\Project\Flutter\jungle\lib\view\splash_screen\splash_screen.dart", "Dart", 58, 0, 7, 65
"c:\Project\Flutter\jungle\lib\view_model\app_ui_style\app_ui_style.dart", "Dart", 27, 0, 8, 35
"c:\Project\Flutter\jungle\lib\view_model\text_field_validation\text_field_validation.dart", "Dart", 15, 2, 5, 22
"c:\Project\Flutter\jungle\lib\widget\delete_dialog_widget.dart\delete_dialog_widget.dart", "Dart", 38, 0, 3, 41
"c:\Project\Flutter\jungle\lib\widget\leading_button_widget\leading_button_widget.dart", "Dart", 15, 0, 1, 16
"c:\Project\Flutter\jungle\lib\widget\page_widget.dart\page_widget.dart", "Dart", 40, 0, 4, 44
"c:\Project\Flutter\jungle\lib\widget\text_button_widget\text_button_widget.dart", "Dart", 25, 0, 3, 28
"Total", "-", 1525, 12, 168, 1705
